Order,Activity,Condition,Who,Subprocess,Terminated
0,start,,,,
1,Receive Invoices ,,,,
2,Receive These ,,,,
3,Forward A Short Visual Inspection ,,,,
4,Identify The Charging Suppliers ,,,,
5,Create A New Instance ,,,,
6,Check The Invoice Items ,,,,
7,Note The Corresponding Cost Center ,,,,
8,Send The Internal Mail ,,,,
9,Send The First Center Manager ,,,,
10,Review The Content ,,,,
11,Should Order ,,,,
12,Note The Copy ,,,,
13,One The Docket ,,,,
14,Return The Copy ,,,,
15,Pass Copy ,,,,
16a1,Send Items ,Items are marked correct ,,,
16b1,goto 32,else,,,
17,Move The Hands ,,,,
18,Mark Positions ,,,,
19a1,Reject The Ap ,Ordered Product is not expected quantity ,Ordered Product ,,
19b1,goto 32,else,,,
20,Send Copy ,,,,
21,Proceede The Statements ,,,,
22,Consult The Center Managers ,,,,
23,Resolve Inconsistencies ,,,,
24,Send Copy ,,,,
25,Continue Process ,,,,
26,Forward The Copy ,,Accounting Employee ,,
27a1,Want Board ,Bill Amount exceeds eur 20.000 ,,,
27b1,goto 32,else,,,
28,Resolve ,,,,
29,Complete Commercial Audit ,,,,
30,Give Payment Instructions ,,Accounting Employee ,,
31,Close The Instance ,,Accounting Employee ,,
32,,,,,yes
